text,disease
"I have symptoms like blurred vision, chest discomfort, dizziness and headache.",Hypertension
My main problems are headache and sweating.,Malaria
"I am suffering from mild cough, sore throat and runny nose.",Common Cold
"My main problems are stomach cramps, vomiting, nausea and fever.",Food Poisoning
"I have been experiencing indigestion, stomach pain and loss of appetite for the past few days.",Gastritis
My main problems are sweating and fever.,Malaria
"For the last few days, I noticed runny nose, congestion and sneezing.",Common Cold
I feel mild cough and sneezing.,Common Cold
I am suffering from sweating and nausea.,Malaria
"I have symptoms like fatigue, headache, shortness of breath and dry cough.",COVID-19
I am dealing with diarrhea and stomach cramps.,Food Poisoning
"My main problems are congestion, sore throat and mild cough.",Common Cold
"My main problems are sore throat, sneezing and congestion.",Common Cold
"My main problems are loss of smell, headache and fatigue.",COVID-19
"My main problems are joint pain, swelling and reduced movement.",Arthritis
"I have symptoms like stomach pain, loss of appetite, weakness and headache.",Typhoid
"I have been experiencing shortness of breath, headache, dry cough and fatigue for the past few days.",COVID-19
"I feel swelling, joint pain and stiffness.",Arthritis
"Lately I am having headache, dry cough, fever and shortness of breath.",COVID-19
"I feel shortness of breath, dry cough and fever.",COVID-19
I have been experiencing cough and headache for the past few days.,Flu
My main problems are chest tightness and wheezing.,Asthma
I am dealing with nausea and sweating.,Malaria
"My main problems are nausea, sensitivity to light, severe headache and vomiting.",Migraine
"I am suffering from nausea, sweating, headache and chills.",Malaria
"I feel nausea, fever, stomach cramps and vomiting.",Food Poisoning
I feel shortness of breath and dry cough.,COVID-19
"I have been experiencing runny nose, itchy eyes and sneezing for the past few days.",Allergy
"Lately I am having loss of smell, fever, fatigue and shortness of breath.",COVID-19
I have symptoms like bloating and stomach pain.,Gastritis
I have been experiencing weight loss and blurred vision for the past few days.,Diabetes
"I have been experiencing itchy eyes, skin rash, sneezing and runny nose for the past few days.",Allergy
"For the last few days, I noticed dry cough, loss of smell, headache and fatigue.",COVID-19
I am suffering from itchy eyes and sneezing.,Allergy
"I have been experiencing weight loss, increased thirst, frequent urination and blurred vision for the past few days.",Diabetes
Lately I am having weakness and stomach pain.,Typhoid
"I have been experiencing joint pain, reduced movement and swelling for the past few days.",Arthritis
"Lately I am having chills, fever, nausea and sweating.",Malaria
My main problems are sore throat and body pain.,Flu
"For the last few days, I noticed stomach cramps, vomiting and nausea.",Food Poisoning
"I feel dizziness, chest discomfort and headache.",Hypertension
"I have been experiencing blurred vision, dizziness and headache for the past few days.",Hypertension
"I have symptoms like stomach cramps, fever and nausea.",Food Poisoning
Lately I am having cough and body pain.,Flu
"Lately I am having diarrhea, vomiting, nausea and fever.",Food Poisoning
"My main problems are stomach cramps, vomiting, fever and nausea.",Food Poisoning
"I have symptoms like body pain, headache, chills and fatigue.",Flu
My main problems are blurred vision and headache.,Hypertension
I have been experiencing fever and fatigue for the past few days.,Flu
"I am suffering from shortness of breath, fatigue, pale skin and dizziness.",Anemia
"I feel cough, chest tightness and wheezing.",Asthma
"I am suffering from fever, cough, body pain and sore throat.",Flu
"Lately I am having chills, headache, fever and nausea.",Malaria
"My main problems are nausea, severe headache and vomiting.",Migraine
My main problems are vomiting and severe headache.,Migraine
"I have symptoms like loss of appetite, bloating, stomach pain and nausea.",Gastritis
"I am dealing with fever, headache, fatigue and loss of smell.",COVID-19
I am dealing with joint pain and eye pain.,Dengue
"For the last few days, I noticed sneezing, runny nose, skin rash and itchy eyes.",Allergy
My main problems are pale skin and dizziness.,Anemia
"For the last few days, I noticed fever, cough, headache and body pain.",Flu
"I am dealing with rash, high fever and eye pain.",Dengue
My main problems are nausea and severe headache.,Migraine
"My main problems are fatigue, sore throat, body pain and headache.",Flu
"Lately I am having itchy eyes, sneezing and skin rash.",Allergy
"I feel wheezing, cough and chest tightness.",Asthma
"I am suffering from eye pain, headache and high fever.",Dengue
"I have been experiencing vomiting, severe headache and sensitivity to light for the past few days.",Migraine
I am dealing with diarrhea and nausea.,Food Poisoning
"My main problems are pale skin, fatigue and shortness of breath.",Anemia
"For the last few days, I noticed loss of appetite and stomach pain.",Gastritis
"I feel loss of appetite, nausea and bloating.",Gastritis
"I am dealing with eye pain, headache and joint pain.",Dengue
I am suffering from nausea and vomiting.,Migraine
"My main problems are nausea, vomiting, severe headache and sensitivity to light.",Migraine
"For the last few days, I noticed chest tightness and shortness of breath.",Asthma
"For the last few days, I noticed increased thirst and weight loss.",Diabetes
"My main problems are dry cough, fatigue and headache.",COVID-19
"I have been experiencing pale skin, dizziness and fatigue for the past few days.",Anemia
"My main problems are frequent urination, fatigue and increased thirst.",Diabetes
"I feel nausea, stomach pain and indigestion.",Gastritis
"I have been experiencing swelling, stiffness, reduced movement and joint pain for the past few days.",Arthritis
"Lately I am having chills, fever and headache.",Malaria
"I feel headache, chest discomfort, blurred vision and dizziness.",Hypertension
"For the last few days, I noticed eye pain, joint pain and high fever.",Dengue
"My main problems are prolonged fever, stomach pain and headache.",Typhoid
"I have symptoms like runny nose, sneezing, itchy eyes and skin rash.",Allergy
I am dealing with chest discomfort and dizziness.,Hypertension
Lately I am having headache and nausea.,Malaria
"I feel cough, body pain, fatigue and sore throat.",Flu
"I have been experiencing stomach cramps, vomiting, diarrhea and nausea for the past few days.",Food Poisoning
"I am suffering from fever, sweating and chills.",Malaria
"I have symptoms like fatigue, shortness of breath, pale skin and dizziness.",Anemia
I have symptoms like runny nose and itchy eyes.,Allergy
I feel stomach pain and weakness.,Typhoid
"Lately I am having joint pain, swelling, reduced movement and stiffness.",Arthritis
I have been experiencing wheezing and cough for the past few days.,Asthma
"I am suffering from increased thirst, blurred vision, fatigue and weight loss.",Diabetes
"For the last few days, I noticed nausea and stomach cramps.",Food Poisoning
"I feel chest tightness, shortness of breath and cough.",Asthma
"I am suffering from headache, loss of appetite and prolonged fever.",Typhoid
"I feel headache, eye pain and high fever.",Dengue
I have been experiencing headache and loss of appetite for the past few days.,Typhoid
"I have symptoms like headache, chest discomfort, blurred vision and dizziness.",Hypertension
My main problems are nausea and sensitivity to light.,Migraine
"My main problems are reduced movement, swelling, stiffness and joint pain.",Arthritis
"I feel sweating, headache, nausea and fever.",Malaria
I have symptoms like nausea and indigestion.,Gastritis
Lately I am having wheezing and shortness of breath.,Asthma
"For the last few days, I noticed stiffness, swelling, joint pain and reduced movement.",Arthritis
"I feel nausea, sweating and chills.",Malaria
"I am dealing with dry cough, fatigue, fever and headache.",COVID-19
"I have symptoms like stomach pain, loss of appetite, nausea and indigestion.",Gastritis
"For the last few days, I noticed wheezing, cough, shortness of breath and chest tightness.",Asthma
"I have symptoms like nausea, fever and stomach cramps.",Food Poisoning
I feel chills and nausea.,Malaria
"I am dealing with sensitivity to light, nausea and vomiting.",Migraine
I have symptoms like loss of smell and shortness of breath.,COVID-19
"I am suffering from high fever, headache, eye pain and joint pain.",Dengue
"My main problems are chills, fatigue, sore throat and headache.",Flu
I have symptoms like increased thirst and fatigue.,Diabetes
"My main problems are dizziness, chest discomfort, headache and blurred vision.",Hypertension
"I feel runny nose, skin rash, itchy eyes and sneezing.",Allergy
I have symptoms like joint pain and high fever.,Dengue
"I am suffering from shortness of breath, dizziness and pale skin.",Anemia
"Lately I am having nausea, loss of appetite, indigestion and bloating.",Gastritis
"My main problems are dizziness, fatigue and shortness of breath.",Anemia
My main problems are weight loss and frequent urination.,Diabetes
"Lately I am having indigestion, loss of appetite and stomach pain.",Gastritis
"My main problems are headache, dizziness and blurred vision.",Hypertension
"For the last few days, I noticed runny nose, skin rash, itchy eyes and sneezing.",Allergy
I am suffering from fatigue and headache.,COVID-19
"I have been experiencing chills, sore throat and headache for the past few days.",Flu
"I feel joint pain, swelling and stiffness.",Arthritis
"For the last few days, I noticed runny nose and skin rash.",Allergy
I have been experiencing sneezing and skin rash for the past few days.,Allergy
"I have been experiencing chest discomfort, blurred vision and headache for the past few days.",Hypertension
"For the last few days, I noticed joint pain, swelling, stiffness and reduced movement.",Arthritis
"For the last few days, I noticed sweating, chills and fever.",Malaria
"Lately I am having congestion, mild cough, runny nose and sneezing.",Common Cold
"I am dealing with chills, sweating, headache and nausea.",Malaria
"For the last few days, I noticed indigestion and loss of appetite.",Gastritis
I have been experiencing shortness of breath and cough for the past few days.,Asthma
Lately I am having fever and nausea.,Malaria
I have symptoms like headache and chest discomfort.,Hypertension
"I am suffering from stiffness, swelling and joint pain.",Arthritis
My main problems are nausea and severe headache.,Migraine
"I am dealing with runny nose, sore throat and congestion.",Common Cold
"I am suffering from prolonged fever, headache, stomach pain and loss of appetite.",Typhoid
I feel swelling and joint pain.,Arthritis
I have been experiencing pale skin and fatigue for the past few days.,Anemia
I have symptoms like joint pain and stiffness.,Arthritis
"My main problems are congestion, sneezing and runny nose.",Common Cold
"I am suffering from fever, sore throat, cough and chills.",Flu
"My main problems are stomach cramps, vomiting, diarrhea and fever.",Food Poisoning
I am suffering from pale skin and fatigue.,Anemia
"I have been experiencing shortness of breath, fever, dry cough and loss of smell for the past few days.",COVID-19
"Lately I am having rash, joint pain and eye pain.",Dengue
My main problems are chest discomfort and blurred vision.,Hypertension
"I feel stomach cramps, diarrhea, vomiting and nausea.",Food Poisoning
I have been experiencing frequent urination and increased thirst for the past few days.,Diabetes
"My main problems are weakness, headache, prolonged fever and stomach pain.",Typhoid
"For the last few days, I noticed cough and headache.",Flu
I have symptoms like vomiting and fever.,Food Poisoning
"I have symptoms like bloating, loss of appetite, nausea and stomach pain.",Gastritis
I am dealing with chills and headache.,Malaria
"I have symptoms like dizziness, blurred vision, chest discomfort and headache.",Hypertension
I have symptoms like high fever and rash.,Dengue
"I feel stomach cramps, nausea and fever.",Food Poisoning
"For the last few days, I noticed headache, sweating, chills and fever.",Malaria
"I am dealing with headache, fever, nausea and chills.",Malaria
"I am dealing with headache, eye pain, rash and high fever.",Dengue
"I am suffering from cough, chest tightness and shortness of breath.",Asthma
I am dealing with headache and stomach pain.,Typhoid
"I am dealing with skin rash, runny nose, itchy eyes and sneezing.",Allergy
I have been experiencing blurred vision and dizziness for the past few days.,Hypertension
"I feel increased thirst, fatigue and blurred vision.",Diabetes
I have been experiencing prolonged fever and stomach pain for the past few days.,Typhoid
"I have been experiencing shortness of breath, fatigue, pale skin and dizziness for the past few days.",Anemia
"I feel headache, dizziness and chest discomfort.",Hypertension
"For the last few days, I noticed indigestion and bloating.",Gastritis
"I have been experiencing itchy eyes, sneezing and runny nose for the past few days.",Allergy
"For the last few days, I noticed severe headache, sensitivity to light, nausea and vomiting.",Migraine
I am dealing with headache and stomach pain.,Typhoid
"I am dealing with headache, dry cough, shortness of breath and fever.",COVID-19
"Lately I am having headache, fever and nausea.",Malaria
I am dealing with cough and chest tightness.,Asthma
"For the last few days, I noticed eye pain, high fever, rash and headache.",Dengue
I have been experiencing cough and chills for the past few days.,Flu
I am suffering from sneezing and itchy eyes.,Allergy
I am dealing with cough and body pain.,Flu
"I feel blurred vision, headache and dizziness.",Hypertension
"I feel high fever, headache and joint pain.",Dengue
I am suffering from sensitivity to light and severe headache.,Migraine
"For the last few days, I noticed itchy eyes, sneezing and skin rash.",Allergy
"For the last few days, I noticed bloating and loss of appetite.",Gastritis
Lately I am having blurred vision and chest discomfort.,Hypertension
I am dealing with swelling and joint pain.,Arthritis
"My main problems are dizziness, blurred vision and headache.",Hypertension
"I have been experiencing fatigue, shortness of breath and dizziness for the past few days.",Anemia
"I am dealing with cough, chills and sore throat.",Flu
I feel sweating and chills.,Malaria
My main problems are loss of appetite and headache.,Typhoid
I feel loss of appetite and weakness.,Typhoid
I am dealing with severe headache and nausea.,Migraine
"For the last few days, I noticed nausea, chills, sweating and headache.",Malaria
"Lately I am having stiffness, reduced movement and joint pain.",Arthritis
"For the last few days, I noticed shortness of breath, wheezing and cough.",Asthma
I am suffering from fatigue and dizziness.,Anemia
"Lately I am having sore throat, sneezing, runny nose and mild cough.",Common Cold
I feel fever and chills.,Flu
"I have symptoms like vomiting, diarrhea, stomach cramps and fever.",Food Poisoning
"For the last few days, I noticed stomach cramps and vomiting.",Food Poisoning
"I have been experiencing weakness, loss of appetite, headache and prolonged fever for the past few days.",Typhoid
"I feel stiffness, swelling, joint pain and reduced movement.",Arthritis
My main problems are dry cough and fatigue.,COVID-19
"I have been experiencing runny nose, mild cough, sneezing and congestion for the past few days.",Common Cold
I feel nausea and sensitivity to light.,Migraine
"For the last few days, I noticed stiffness, swelling and reduced movement.",Arthritis
I am dealing with diarrhea and vomiting.,Food Poisoning
"Lately I am having headache, stomach pain, loss of appetite and weakness.",Typhoid
I am dealing with sneezing and runny nose.,Allergy
My main problems are chills and nausea.,Malaria
"I am dealing with fatigue, sore throat, body pain and cough.",Flu
"For the last few days, I noticed sweating and nausea.",Malaria
"I am dealing with bloating, nausea, indigestion and stomach pain.",Gastritis
"I have symptoms like rash, high fever and headache.",Dengue
"I have been experiencing shortness of breath, cough and chest tightness for the past few days.",Asthma
"My main problems are chest tightness, shortness of breath and wheezing.",Asthma
"My main problems are sweating, nausea and headache.",Malaria
"I feel weakness, prolonged fever and headache.",Typhoid
I have been experiencing headache and chills for the past few days.,Malaria
"I feel headache, sweating, nausea and chills.",Malaria
"I am dealing with fatigue, increased thirst and frequent urination.",Diabetes
Lately I am having sore throat and congestion.,Common Cold
Lately I am having fever and body pain.,Flu
"I feel shortness of breath, cough, wheezing and chest tightness.",Asthma
I have symptoms like headache and high fever.,Dengue
"I feel sensitivity to light, vomiting, severe headache and nausea.",Migraine
Lately I am having fever and stomach cramps.,Food Poisoning
"I feel weakness, prolonged fever, stomach pain and headache.",Typhoid
"Lately I am having cough, chest tightness, wheezing and shortness of breath.",Asthma
I have symptoms like congestion and sore throat.,Common Cold
I am dealing with runny nose and sore throat.,Common Cold
"I am suffering from shortness of breath, fever and dry cough.",COVID-19
"Lately I am having congestion, runny nose and sore throat.",Common Cold
"I have symptoms like eye pain, joint pain, high fever and headache.",Dengue
"I am dealing with fatigue, fever, sore throat and body pain.",Flu
"I am dealing with congestion, sneezing, runny nose and sore throat.",Common Cold
"I have symptoms like cough, wheezing, shortness of breath and chest tightness.",Asthma
"I am suffering from high fever, rash and joint pain.",Dengue
I am suffering from vomiting and nausea.,Migraine
"I have been experiencing diarrhea, nausea, vomiting and fever for the past few days.",Food Poisoning
"I feel stomach cramps, vomiting, nausea and diarrhea.",Food Poisoning
"I have symptoms like blurred vision, weight loss and increased thirst.",Diabetes
"I am dealing with vomiting, nausea, diarrhea and fever.",Food Poisoning
My main problems are skin rash and runny nose.,Allergy
"My main problems are reduced movement, joint pain, swelling and stiffness.",Arthritis
"For the last few days, I noticed headache and fever.",Flu
"I feel mild cough, sore throat and congestion.",Common Cold
I have been experiencing congestion and sneezing for the past few days.,Common Cold
"Lately I am having bloating, indigestion and stomach pain.",Gastritis
"I feel body pain, sore throat and fatigue.",Flu
I am dealing with mild cough and sneezing.,Common Cold
"I have been experiencing severe headache, sensitivity to light, nausea and vomiting for the past few days.",Migraine
"For the last few days, I noticed sneezing, skin rash and itchy eyes.",Allergy
"I feel dry cough, shortness of breath and fatigue.",COVID-19
"Lately I am having stiffness, swelling, joint pain and reduced movement.",Arthritis
"I have symptoms like mild cough, sore throat, sneezing and runny nose.",Common Cold
"For the last few days, I noticed loss of appetite and nausea.",Gastritis
"Lately I am having eye pain, high fever, headache and rash.",Dengue
"Lately I am having joint pain, reduced movement, stiffness and swelling.",Arthritis
"I am suffering from swelling, stiffness and joint pain.",Arthritis
My main problems are stomach cramps and diarrhea.,Food Poisoning
"My main problems are cough, chest tightness and wheezing.",Asthma
"Lately I am having eye pain, high fever and headache.",Dengue
"My main problems are stomach pain, prolonged fever, weakness and loss of appetite.",Typhoid
"Lately I am having headache, stomach pain, weakness and loss of appetite.",Typhoid
"I feel body pain, fever, sore throat and fatigue.",Flu
I am dealing with sore throat and sneezing.,Common Cold
My main problems are shortness of breath and chest tightness.,Asthma
"For the last few days, I noticed frequent urination and blurred vision.",Diabetes
I am dealing with vomiting and fever.,Food Poisoning
My main problems are fatigue and cough.,Flu
"Lately I am having swelling, joint pain and reduced movement.",Arthritis
I am suffering from loss of appetite and prolonged fever.,Typhoid
Lately I am having frequent urination and blurred vision.,Diabetes
"I am suffering from headache, nausea and chills.",Malaria
I have symptoms like shortness of breath and fever.,COVID-19
"For the last few days, I noticed itchy eyes, skin rash, sneezing and runny nose.",Allergy
Lately I am having sore throat and congestion.,Common Cold
"I feel fever, sore throat, fatigue and cough.",Flu
"I have been experiencing runny nose, sore throat, mild cough and congestion for the past few days.",Common Cold
"I feel wheezing, cough and chest tightness.",Asthma
"I have been experiencing vomiting, sensitivity to light, nausea and severe headache for the past few days.",Migraine
"I am suffering from sore throat, congestion, runny nose and sneezing.",Common Cold
"I am dealing with stiffness, reduced movement, joint pain and swelling.",Arthritis
"I am dealing with stomach cramps, nausea, diarrhea and fever.",Food Poisoning
"I am suffering from chest tightness, wheezing, cough and shortness of breath.",Asthma
"For the last few days, I noticed weight loss, increased thirst and frequent urination.",Diabetes
I have been experiencing stiffness and swelling for the past few days.,Arthritis
I am suffering from dizziness and chest discomfort.,Hypertension
"For the last few days, I noticed stiffness, joint pain, reduced movement and swelling.",Arthritis
I am suffering from headache and blurred vision.,Hypertension
"I have symptoms like blurred vision, dizziness, chest discomfort and headache.",Hypertension
"I have symptoms like dizziness, pale skin and fatigue.",Anemia
"For the last few days, I noticed fever, chills, headache and sweating.",Malaria
"For the last few days, I noticed diarrhea, fever and vomiting.",Food Poisoning
"I am dealing with fatigue, sore throat and body pain.",Flu
"I am dealing with blurred vision, weight loss, fatigue and frequent urination.",Diabetes
"My main problems are fever, vomiting, nausea and stomach cramps.",Food Poisoning
"I am suffering from sore throat, chills and fatigue.",Flu
I have symptoms like chest discomfort and blurred vision.,Hypertension
"For the last few days, I noticed itchy eyes, runny nose, skin rash and sneezing.",Allergy
"For the last few days, I noticed chest tightness, cough, shortness of breath and wheezing.",Asthma
I am suffering from sensitivity to light and severe headache.,Migraine
"For the last few days, I noticed itchy eyes and sneezing.",Allergy
"For the last few days, I noticed pale skin, fatigue and dizziness.",Anemia
I have been experiencing chest discomfort and dizziness for the past few days.,Hypertension
"For the last few days, I noticed chills, sweating and fever.",Malaria
I feel cough and wheezing.,Asthma
Lately I am having blurred vision and fatigue.,Diabetes
"For the last few days, I noticed dizziness, blurred vision, headache and chest discomfort.",Hypertension
"My main problems are fever, nausea and sweating.",Malaria
"My main problems are stomach pain, indigestion, nausea and loss of appetite.",Gastritis
I feel joint pain and eye pain.,Dengue
"I feel wheezing, cough, shortness of breath and chest tightness.",Asthma
"For the last few days, I noticed nausea, severe headache and vomiting.",Migraine
"I am suffering from chills, sweating, fever and nausea.",Malaria
"My main problems are dizziness, fatigue, shortness of breath and pale skin.",Anemia
"My main problems are mild cough, sneezing, sore throat and congestion.",Common Cold
"I have symptoms like sore throat, chills and body pain.",Flu
I have symptoms like sneezing and itchy eyes.,Allergy
"For the last few days, I noticed sweating, nausea and headache.",Malaria
"For the last few days, I noticed runny nose and skin rash.",Allergy
"I have symptoms like headache, eye pain, high fever and rash.",Dengue
I am suffering from congestion and sneezing.,Common Cold
"I feel fatigue, weight loss, blurred vision and frequent urination.",Diabetes
"For the last few days, I noticed chest discomfort, headache and blurred vision.",Hypertension
"I have been experiencing cough, chest tightness and wheezing for the past few days.",Asthma
I am suffering from headache and sore throat.,Flu
I have symptoms like headache and dizziness.,Hypertension
"I have symptoms like headache, dizziness, chest discomfort and blurred vision.",Hypertension
I feel headache and sore throat.,Flu
I am dealing with fever and headache.,Flu
"For the last few days, I noticed blurred vision, chest discomfort and headache.",Hypertension
"For the last few days, I noticed reduced movement, swelling and joint pain.",Arthritis
"For the last few days, I noticed headache and fever.",Malaria
"My main problems are body pain, sore throat and fever.",Flu
I feel itchy eyes and skin rash.,Allergy
"My main problems are runny nose, itchy eyes and skin rash.",Allergy
"For the last few days, I noticed sensitivity to light and vomiting.",Migraine
I feel chills and fatigue.,Flu
"I have been experiencing stomach pain, loss of appetite, nausea and indigestion for the past few days.",Gastritis
My main problems are fever and headache.,Malaria
"I feel sore throat, congestion and runny nose.",Common Cold
"I am suffering from shortness of breath, chest tightness and cough.",Asthma
"I am dealing with dizziness, shortness of breath and fatigue.",Anemia
"Lately I am having headache, stomach pain and prolonged fever.",Typhoid
"I have been experiencing pale skin, shortness of breath and fatigue for the past few days.",Anemia
"I feel increased thirst, weight loss and frequent urination.",Diabetes
"I am dealing with nausea, sweating and fever.",Malaria
My main problems are chills and body pain.,Flu
"I am dealing with chills, nausea, fever and headache.",Malaria
"I am dealing with pale skin, shortness of breath, fatigue and dizziness.",Anemia
"For the last few days, I noticed weakness and stomach pain.",Typhoid
"I am dealing with headache, weakness and prolonged fever.",Typhoid
"I feel sore throat, sneezing, runny nose and mild cough.",Common Cold
"I am dealing with headache, high fever, eye pain and joint pain.",Dengue
"For the last few days, I noticed fatigue, dizziness, shortness of breath and pale skin.",Anemia
Lately I am having prolonged fever and weakness.,Typhoid
My main problems are wheezing and shortness of breath.,Asthma
"My main problems are runny nose, itchy eyes and skin rash.",Allergy
I have symptoms like joint pain and stiffness.,Arthritis
"Lately I am having nausea, sensitivity to light and severe headache.",Migraine
"I am dealing with runny nose, congestion, sneezing and mild cough.",Common Cold
My main problems are cough and chest tightness.,Asthma
"My main problems are shortness of breath, fatigue and dizziness.",Anemia
I have symptoms like blurred vision and weight loss.,Diabetes
"Lately I am having nausea, headache, sweating and chills.",Malaria
I have symptoms like weakness and stomach pain.,Typhoid
"I have been experiencing nausea, bloating and indigestion for the past few days.",Gastritis
"I am dealing with chest tightness, shortness of breath, cough and wheezing.",Asthma
"I am suffering from prolonged fever, weakness and headache.",Typhoid
"I am suffering from diarrhea, stomach cramps and vomiting.",Food Poisoning
"I am dealing with frequent urination, increased thirst and fatigue.",Diabetes
My main problems are sweating and fever.,Malaria
"My main problems are shortness of breath, chest tightness, wheezing and cough.",Asthma
"I have symptoms like joint pain, rash and headache.",Dengue
Lately I am having stomach pain and indigestion.,Gastritis
"I have symptoms like severe headache, vomiting and nausea.",Migraine
"For the last few days, I noticed nausea, sensitivity to light, severe headache and vomiting.",Migraine
"Lately I am having headache, joint pain and rash.",Dengue
"My main problems are dry cough, fever, fatigue and shortness of breath.",COVID-19
"I am suffering from increased thirst, weight loss and fatigue.",Diabetes
"I have symptoms like dizziness, headache, blurred vision and chest discomfort.",Hypertension
Lately I am having nausea and vomiting.,Migraine
My main problems are fever and nausea.,Food Poisoning
I feel increased thirst and weight loss.,Diabetes
"For the last few days, I noticed runny nose and sneezing.",Common Cold
I have been experiencing weight loss and frequent urination for the past few days.,Diabetes
"I am suffering from vomiting, severe headache and sensitivity to light.",Migraine
"My main problems are headache, fever and nausea.",Malaria
My main problems are nausea and stomach cramps.,Food Poisoning
"For the last few days, I noticed dizziness and headache.",Hypertension
"I have been experiencing body pain, fatigue and sore throat for the past few days.",Flu
"For the last few days, I noticed shortness of breath and dry cough.",COVID-19
"Lately I am having shortness of breath, pale skin and fatigue.",Anemia
I have been experiencing headache and stomach pain for the past few days.,Typhoid
"I have been experiencing runny nose, sneezing, itchy eyes and skin rash for the past few days.",Allergy
I have been experiencing runny nose and congestion for the past few days.,Common Cold
"I am suffering from sweating, chills, headache and nausea.",Malaria
"For the last few days, I noticed shortness of breath, wheezing and chest tightness.",Asthma
"I have symptoms like fever, headache and dry cough.",COVID-19
"I feel dry cough, fever, fatigue and loss of smell.",COVID-19
"I have been experiencing runny nose, sneezing and congestion for the past few days.",Common Cold
I am dealing with loss of appetite and weakness.,Typhoid
"I have symptoms like headache, chills and fever.",Flu
"My main problems are sneezing, sore throat and mild cough.",Common Cold
"For the last few days, I noticed loss of appetite and nausea.",Gastritis
"I feel fever, chills, body pain and fatigue.",Flu
"I am suffering from stiffness, reduced movement and swelling.",Arthritis
"I have symptoms like sore throat, fatigue and headache.",Flu
"My main problems are fever, fatigue, loss of smell and headache.",COVID-19
"For the last few days, I noticed shortness of breath and chest tightness.",Asthma
"I am suffering from vomiting, sensitivity to light and severe headache.",Migraine
"For the last few days, I noticed swelling, joint pain and reduced movement.",Arthritis
My main problems are runny nose and sneezing.,Allergy
My main problems are cough and wheezing.,Asthma
I have symptoms like nausea and loss of appetite.,Gastritis
My main problems are weight loss and increased thirst.,Diabetes
I have symptoms like skin rash and sneezing.,Allergy
I feel fever and chills.,Flu
I have been experiencing sneezing and itchy eyes for the past few days.,Allergy
Lately I am having skin rash and runny nose.,Allergy
"I have been experiencing swelling, stiffness, reduced movement and joint pain for the past few days.",Arthritis
I am dealing with eye pain and headache.,Dengue
"I have symptoms like blurred vision, headache, dizziness and chest discomfort.",Hypertension
My main problems are indigestion and bloating.,Gastritis
"I am dealing with runny nose, sore throat and sneezing.",Common Cold
"I am suffering from fatigue, pale skin and shortness of breath.",Anemia
I am dealing with mild cough and runny nose.,Common Cold
My main problems are nausea and sweating.,Malaria
"I am dealing with loss of appetite, stomach pain, weakness and headache.",Typhoid
"I feel vomiting, nausea and fever.",Food Poisoning
"I feel shortness of breath, pale skin, fatigue and dizziness.",Anemia
"My main problems are dizziness, shortness of breath, pale skin and fatigue.",Anemia
"I feel joint pain, high fever and rash.",Dengue
"For the last few days, I noticed chest tightness, cough and wheezing.",Asthma
"I feel nausea, loss of appetite, bloating and stomach pain.",Gastritis
My main problems are shortness of breath and dizziness.,Anemia
"For the last few days, I noticed joint pain and stiffness.",Arthritis
"I am suffering from pale skin, shortness of breath and fatigue.",Anemia
"I am suffering from diarrhea, vomiting, stomach cramps and nausea.",Food Poisoning
"I have been experiencing stomach cramps, fever, nausea and vomiting for the past few days.",Food Poisoning
"I feel weakness, stomach pain, prolonged fever and loss of appetite.",Typhoid
"I am dealing with vomiting, fever and nausea.",Food Poisoning
"For the last few days, I noticed headache, chills, fever and sweating.",Malaria
"I am suffering from mild cough, congestion and sneezing.",Common Cold
"For the last few days, I noticed sweating and nausea.",Malaria
"I am suffering from sensitivity to light, vomiting, severe headache and nausea.",Migraine
"I feel dry cough, fatigue and fever.",COVID-19
"Lately I am having shortness of breath, dizziness, pale skin and fatigue.",Anemia
Lately I am having fatigue and increased thirst.,Diabetes
"I am dealing with increased thirst, fatigue, frequent urination and blurred vision.",Diabetes
"I am suffering from frequent urination, blurred vision, fatigue and weight loss.",Diabetes
"For the last few days, I noticed dizziness and chest discomfort.",Hypertension
"For the last few days, I noticed blurred vision, dizziness and headache.",Hypertension
"For the last few days, I noticed nausea and bloating.",Gastritis
"Lately I am having loss of smell, dry cough and shortness of breath.",COVID-19
I feel nausea and chills.,Malaria
I am suffering from joint pain and headache.,Dengue
"I am suffering from swelling, reduced movement and stiffness.",Arthritis
Lately I am having sneezing and mild cough.,Common Cold
I am dealing with nausea and diarrhea.,Food Poisoning
"I feel loss of appetite, weakness, headache and prolonged fever.",Typhoid
"Lately I am having nausea, stomach cramps and vomiting.",Food Poisoning
I feel fatigue and fever.,Flu
"I am dealing with fever, shortness of breath and dry cough.",COVID-19
I have symptoms like runny nose and sneezing.,Common Cold
"I am suffering from shortness of breath, chest tightness, cough and wheezing.",Asthma
"I am dealing with headache, loss of appetite and stomach pain.",Typhoid
"I am suffering from headache, sweating and fever.",Malaria
I feel vomiting and severe headache.,Migraine
"I feel sneezing, runny nose, sore throat and congestion.",Common Cold
I have been experiencing severe headache and sensitivity to light for the past few days.,Migraine
I have been experiencing fever and body pain for the past few days.,Flu
"Lately I am having pale skin, shortness of breath, dizziness and fatigue.",Anemia
"I have symptoms like pale skin, fatigue and shortness of breath.",Anemia
I feel stiffness and joint pain.,Arthritis
"I am suffering from high fever, headache and joint pain.",Dengue
"For the last few days, I noticed nausea and diarrhea.",Food Poisoning
I am dealing with runny nose and mild cough.,Common Cold
I feel chills and headache.,Flu
